Date,Name,Icon,Meal,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
10/17/2022,Trader Joe’s Jasmine Rice,Rice,Dinner,0.25,Cup,160,1,0,3,35,0,0,0,n/a,0
10/17/2022,Dill-icious Chopped Salad Kit,Salad,Dinner,150.0,Grams,210,0,16.50,3,13.50,1.50,4.50,3,7.50,360
10/17/2022,"Wine, White",WineWhite,Dinner,10.0,Fluid ounces,241,0,0,0.21,7.64,0,2.82,0,0,14.70
10/17/2022,"Rice Cake, White Cheddar",RiceCake,Evening Snacks,1.0,Each,45,0,0.50,1,8,0,0,0,0,105
10/17/2022,Chocolate Rice Cake,RiceCake,Evening Snacks,15.0,Grams,60,0,1,1,12,0,4,0,0,35
10/17/2022,Jerk-style Plantain Chips,PotatoChip,Evening Snacks,1.0,Serving,140,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/17/2022,"Newtons, Fig",Fig,Evening Snacks,1.0,Piece,50,0,1,0.50,10.50,0,6,0.50,0,47.50
10/17/2022,"Goodpop Freezer Pop Popsicle, Cherry Limeade",Popsicle,Evening Snacks,1.0,Each,30,0,0,0,7,0,7,0,0,5
10/18/2022,Calories,Calories,Breakfast,27.5,Each,275,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/18/2022,Calories,Calories,Lunch,30.0,Each,300,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/18/2022,"Protein-Packed Chewy Granola Bar, S’mores",Bar,Afternoon Snacks,1.0,Each,140,0,3.50,7,20,1,9,2,5,90
10/18/2022,"Candy, Peanut Butter Cups, Miniatures",Candy,Afternoon Snacks,1.0,Piece,44,0,2.60,0.80,5.20,1,4.60,0.20,1,26
10/18/2022,Trader Joes Organic Fusilli Pasta (dry),Pasta,Dinner,2.0,Ounces,200,0,0.50,7,40,0,1,2,0,0
10/18/2022,Tomato Basil Marinara,Sauce,Dinner,125.0,Grams,60,0,1,2,10,0,5,2,0,420
10/18/2022,Calories,Calories,Dinner,11.5,Each,115,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/18/2022,Garlic Naan,WhiteBread,Dinner,0.5,Piece,125,0,1.75,3.50,23.50,0.75,1.50,1.50,n/a,155
10/18/2022,White Cheddar Rice Cake,Rice,Evening Snacks,3.0,Each,135,0,3,3,24,0,3,0,0,300
10/18/2022,Jerk-style Plantain Chips,PotatoChip,Evening Snacks,1.0,Serving,140,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/18/2022,"Bourbon, 80 Proof",Alcohol,Evening Snacks,2.0,Fluid ounces,128,1,0,0,0,0,0,0,0,0.56
10/18/2022,Chambord Liqueur,Alcohol,Evening Snacks,1.0,Fluid ounce,103,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/18/2022,Bourbon 92 Proof,Alcohol,Evening Snacks,3.0,Fluid ounces,216,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/18/2022,"Newtons, Fig",Fig,Evening Snacks,2.0,Pieces,100,0,2,1,21,0,12,1,0,95
10/19/2022,Bacon,Bacon,Breakfast,4.9,Slices,225,0,17.64,15.19,0.49,5.88,0,0,44.10,960.40
10/19/2022,"Eggs, Large",Egg,Breakfast,1.0,Each,70,0,4.50,6,1,1.50,0,0,215,65
10/19/2022,Mini Chicken Tikka Samosas,Chicken,Lunch,6.0,Each,270,0,15,13.50,21,1.50,0,1.50,30,510
10/19/2022,"Bun, Hot Dog, Plain",HotDogBun,Lunch,0.92,Each,120,0,2.76,3.68,20.24,0,2.76,0.46,0,165.60
10/19/2022,"Hot Dog, Turkey, Uncured",Hotdog,Lunch,0.86,Each,60,0,3.1,6.2,0.86,0.43,0,0,30.10,387
10/19/2022,"Toaster Pastry, Frosted Strawberry",Pastry,Afternoon Snacks,1.0,Each,175,0,6.50,2.50,26.50,2.50,9.50,0.50,0,150
10/19/2022,White Cheddar Rice Cake,Rice,Afternoon Snacks,1.0,Each,45,0,1,1,8,0,1,0,0,100
10/19/2022,Atlantic Salmon Fillet,Fish,Dinner,122.0,Grams,259,0,16.19,24.83,0,3.78,0,0,64.78,70.18
10/19/2022,"Squash, Acorn, Fresh, Cubes",Squash,Dinner,325.0,Grams,130,0,0.33,2.60,33.87,0.7,0,4.88,0,9.75
10/19/2022,"Wine, White",WineWhite,Dinner,5.0,Fluid ounces,121,0,0,0.10,3.82,0,1.41,0,0,7.35
10/19/2022,"Green Beans, Whole, Organic-pm",SnapBean,Dinner,212.5,Grams,88,0,0,5,15,0,5,5,0,0
10/19/2022,"Oil, Olive, Extra Virgin",Oil,Dinner,0.5,Tablespoon,60,0,6.75,0,0,1,0,0,0,0
10/19/2022,Chocolate Rice Cake,RiceCake,Evening Snacks,30.0,Grams,120,0,2,2,24,0,8,0,0,70
10/19/2022,White Cheddar Rice Cake,Rice,Evening Snacks,1.0,Each,45,0,1,1,8,0,1,0,0,100
10/19/2022,"Apple, Fuji, Medium",Apple,Evening Snacks,146.0,Grams,76,0,0.24,0.40,20.5,0.8,15.24,3.53,0,1.60
10/19/2022,"Goodpop Freezer Pop Popsicle, Cherry Limeade",Popsicle,Evening Snacks,1.0,Each,30,0,0,0,7,0,7,0,0,5
10/20/2022,"Organic Frosted Toasted Pastries, Cherry Pomegranate",PopTart,Breakfast,1.0,Serving,350,0,8,4,67,3.50,36,2,0,260
10/20/2022,Chicken Gyoza Potstickers,Dumpling,Lunch,220.0,Grams,358,0,5.50,19.25,55,n/a,2.75,2.75,55,990
10/20/2022,"Oil, Canola",Oil,Lunch,0.5,Tablespoon,60,0,7,0,0,0.50,0,0,0,0
10/20/2022,This Apple Walks Into A Bar,CerealBar,Afternoon Snacks,1.0,Serving,140,0,2.50,2,27,0,16,1,0,75
10/20/2022,"Apple, Fuji, Medium",Apple,Afternoon Snacks,145.0,Grams,76,0,0.24,0.40,19.92,0.8,15.14,3.51,0,1.59
10/20/2022,"Chicken Breasts, Boneless Skinless",Chicken,Dinner,165.0,Grams,160,0,3.64,33.47,0,0.73,0,0,94.58,320.11
10/20/2022,Spanish Style Rice,Rice,Dinner,142.0,Grams,220,0,6,4,38,n/a,n/a,n/a,n/a,700
10/20/2022,Avocado - Haas,Avocado,Dinner,85.0,Grams,126,0,11.54,1.57,6.72,1.68,0.52,5.25,0,5.25
10/20/2022,"Goodpop Freezer Pop Popsicle, Cherry Limeade",Popsicle,Evening Snacks,1.0,Each,30,0,0,0,7,0,7,0,0,5
10/20/2022,Calories,Calories,Evening Snacks,27.0,Each,270,0,0,0,0,0,0,0,0,0
10/20/2022,"Rice Cake, White Cheddar",RiceCake,Evening Snacks,2.0,Each,90,0,1,2,16,0,0,0,0,210
10/21/2022,Wheat bread,WhiteBread,Breakfast,57.0,Grams,132,0,2.4,5.9,25.45,0,1.2,2.4,0,264.64
10/21/2022,Calories,Calories,Breakfast,12.8,Each,128,0,0,0,0,0,0,0,0,0
10/21/2022,Calories,Calories,Lunch,55.0,Each,550,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/21/2022,"Cereal Bar, Peanut Butter Granola",CerealBar,Afternoon Snacks,2.0,Pieces,200,0,8,4,28,1,11,2,0,160
10/21/2022,"Wine, White",WineWhite,Dinner,5.0,Fluid ounces,121,0,0,0.10,3.82,0,1.41,0,0,7.35
10/21/2022,Calories,Calories,Dinner,52.4,Each,524,0,0,0,0,0,0,0,0,0
10/21/2022,"Apple, Fuji, Medium",Apple,Evening Snacks,138.0,Grams,72,0,0.23,0.38,18.96,0.8,14.41,3.34,0,1.52
10/21/2022,"Ice Cream, Birthday Cake",IceCream,Evening Snacks,1.07,Cups,150,0,4.28,12.84,32.10,2.14,10.70,10.70,87.74,246.10
10/21/2022,Chocolate Rice Cake,RiceCake,Evening Snacks,30.0,Grams,120,0,2,2,24,0,8,0,0,70
10/22/2022,Maple Chicken Breakfast Sausage,Sausage,Breakfast,6.0,Each,270,0,12,30,9,3,9,0,150,1290
10/22/2022,"Vanilla Latte, 2%, Tall",Default,Morning Snacks,1.0,Each,200,0,5,9,28,2.50,27,0,20,125
10/22/2022,"Bun, Hot Dog, Plain",HotDogBun,Lunch,1.85,Each,241,0,5.55,7.40,40.70,0,5.55,0.93,0,333
10/22/2022,"Hot Dog, Turkey, Uncured",Hotdog,Lunch,2.0,Each,120,0,6,14,2,2,0,0,60,940
10/22/2022,This Blueberry Walks Into A Bar,Bar,Afternoon Snacks,1.0,Serving,140,0,2.50,2,27,0,17,n/a,0,80
10/22/2022,"Apple, Fuji, Medium",Apple,Afternoon Snacks,145.0,Grams,76,0,0.24,0.40,19.92,0.8,15.14,3.51,0,1.59
10/22/2022,Chicken Thighs Pollo Asado,Chicken,Dinner,0.23,Pound,147,0,4.60,21.16,4.60,0.92,0,0,92,837.20
10/22/2022,Spanish Style Rice,Rice,Dinner,71.0,Grams,110,0,3,2,19,n/a,n/a,n/a,n/a,350
10/22/2022,"Tortillas, Corn, Sprouted",Tortilla,Dinner,3.0,Pieces,180,0,3,3,34.50,0,1.50,4.50,0,15
10/22/2022,Avocado,Avocado,Dinner,65.0,Grams,104,0,9.53,1.30,5.54,1.38,0.43,4.36,0,4.55
10/22/2022,White Chips With A Touch Of Lime,Lime,Dinner,14.0,Grams,65,0,3.50,1,8.50,0.25,0,1,0,75
10/22/2022,"Sugar, Granulated",SugarWhite,Evening Snacks,0.75,Teaspoon,12,0,0,0,3.15,0,3.14,0,0,0.3
10/22/2022,Bourbon 92 Proof,Alcohol,Evening Snacks,1.75,Fluid ounces,126,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/22/2022,"Mango, Slices",Mango,Evening Snacks,269.0,Grams,175,0,0.73,1.37,45.73,0.16,39.81,4.84,0,5.38
10/23/2022,Natural Applewood Smoked Uncured Center Cut Bacon,Bacon,Breakfast,3.5,Slices,158,0,8.75,15.75,0.89,3.54,0.89,0,52.50,630
10/23/2022,"Eggs, Large",Egg,Breakfast,1.0,Each,70,0,4.50,6,1,1.50,0,0,215,65
10/23/2022,Wheat bread,WhiteBread,Breakfast,28.0,Grams,65,0,1,2.50,12.50,0,0.50,1,0,130
10/23/2022,Pure Irish Butter,Butter,Breakfast,6.0,Grams,43,0,4.71,0,0,n/a,n/a,n/a,n/a,n/a
10/23/2022,Granola Bar (Oats 'n Dark Chocolate),Bar,Morning Snacks,1.0,Each,200,0,8,3,29,1.50,12,3,0,130
10/23/2022,"Tortillas, Corn, Sprouted",Tortilla,Lunch,3.0,Pieces,180,0,3,3,34.50,0,1.50,4.50,0,15
10/23/2022,Chicken Thighs Pollo Asado,Chicken,Lunch,0.23,Pound,147,0,4.60,21.16,4.60,0.92,0,0,92,837.20
10/23/2022,Spanish Style Rice,Rice,Lunch,71.0,Grams,110,0,3,2,19,n/a,n/a,n/a,n/a,350
10/23/2022,"Juice, Apple Cider, 100% Honey Crisp",Juice,Afternoon Snacks,4.0,Fluid ounces,60,0,0,0,15,0,14,0,0,2.50
10/23/2022,Garlic Naan,WhiteBread,Dinner,0.5,Piece,125,1,1.75,3.50,23.50,0.75,1.50,1.50,n/a,155
10/23/2022,Tagliatelle Organic (2oz.=3/4 Cup),Pasta,Dinner,2.285,Ounces,216,0,0.58,7.96,45.46,0,3.45,2.30,0,22.73
10/23/2022,Tomato Basil Marinara,Sauce,Dinner,187.5,Grams,90,0,1.50,3,15,0,7.50,3,0,630
10/23/2022,"Meatballs, Turkey (2 Balls/serving)",Meatballs,Dinner,2.0,Servings,200,0,10,24,10,4,2,4,60,800
10/23/2022,Pure Irish Butter,Butter,Dinner,5.0,Grams,36,0,3.93,0,0,n/a,n/a,n/a,n/a,n/a
10/23/2022,"Wine, White",WineWhite,Dinner,5.0,Fluid ounces,121,1,0,0.10,3.82,0,1.41,0,0,7.35
10/23/2022,"Rice Cake, White Cheddar",RiceCake,Afternoon Snacks,1.0,Each,45,0,0.50,1,8,0,0,0,0,105
10/23/2022,Wheat bread,WhiteBread,Dinner,31.0,Grams,72,0,1.11,2.77,13.84,0,0.55,1.11,0,143.93
10/23/2022,"Apple, Fuji, Medium",Apple,Evening Snacks,140.0,Grams,73,0,0.23,0.38,19.23,0.8,14.62,3.38,0,1.54
10/23/2022,Red Grapes,Grapes,Evening Snacks,133.0,Grams,93,0,0,0,26.60,0,21.28,0,0,26.60
10/23/2022,"Wine, White",WineWhite,Evening Snacks,5.0,Fluid ounces,121,0,0,0.10,3.82,0,1.41,0,0,7.35
10/24/2022,Wheat bread,WhiteBread,Breakfast,59.0,Grams,137,0,2.11,5.27,26.34,0,1.5,2.11,0,273.93
10/24/2022,Calories,Calories,Breakfast,10.7,Each,107,0,0,0,0,0,0,0,0,0
10/24/2022,Calories,Calories,Lunch,47.0,Each,470,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/24/2022,Jerk-style Plantain Chips,PotatoChip,Lunch,0.5,Serving,70,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/24/2022,This Strawberry Walks Into A Bar,Bar,Afternoon Snacks,1.0,Serving,140,0,2.50,2,28,0,16,1,0,75
10/24/2022,Chicken Gyoza Potstickers,Dumpling,Dinner,12.0,Pieces,390,0,6,21,60,n/a,3,3,60,1080
10/24/2022,"Oil, Canola",Oil,Dinner,0.5,Tablespoon,60,0,7,0,0,0.50,0,0,0,0
10/24/2022,"Rice Cake, White Cheddar",RiceCake,Afternoon Snacks,1.0,Each,45,0,0.50,1,8,0,0,0,0,105
10/24/2022,"Apple, Fuji, Medium",Apple,Afternoon Snacks,144.0,Grams,75,0,0.24,0.40,19.78,0.8,15.3,3.48,0,1.58
10/24/2022,Calories,Calories,Dinner,14.0,Each,140,0,0,0,0,0,0,0,0,0
10/24/2022,"Rice Cake, White Cheddar",RiceCake,Evening Snacks,1.0,Each,45,0,0.50,1,8,0,0,0,0,105
10/24/2022,Red Grapes,Grapes,Evening Snacks,200.0,Grams,140,0,0,0,40,0,32,0,0,40
10/24/2022,Chocolate Rice Cake,RiceCake,Evening Snacks,15.0,Grams,60,0,1,1,12,0,4,0,0,35
10/24/2022,"Newtons, Fig",Fig,Evening Snacks,1.0,Piece,50,0,1,0.50,10.50,0,6,0.50,0,47.50
10/25/2022,Calories,Calories,Breakfast,22.5,Each,225,0,0,0,0,0,0,0,0,0
10/25/2022,Calories,Calories,Lunch,40.0,Each,400,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/25/2022,"Candy, Peanut Butter Cups, Miniatures",Candy,Afternoon Snacks,1.0,Piece,44,0,2.60,0.80,5.20,1,4.60,0.20,1,26
10/25/2022,"Protein-Packed Chewy Granola Bar, S’mores",Bar,Afternoon Snacks,1.0,Each,140,0,3.50,7,20,1,9,2,5,90
10/25/2022,"Crackers, Goldfish, Cheddar",Snack,Afternoon Snacks,26.0,Pieces,66,0,2.36,1.42,9.45,0.47,0,0.95,1.18,113.45
10/25/2022,"Rice Cake, White Cheddar",RiceCake,Afternoon Snacks,1.0,Each,45,0,0.50,1,8,0,0,0,0,105
10/25/2022,"Pork Loin Boneless, Center Cut Chops",PorkChop,Dinner,6.2,Ounces,295,0,15.50,35.65,0,5.42,0,0,116.25,93
10/25/2022,"Sweet Potatoes, Medium, 5""",Yam,Dinner,205.0,Grams,176,0,0.10,3.22,41.25,0.2,8.57,6.15,0,112.75
10/25/2022,"Broccoli, Raw",Broccoli,Dinner,230.0,Grams,78,0,0.85,6.49,15.27,0.7,3.91,5.98,0,75.90
10/25/2022,"Oil, Olive, Extra Virgin",Oil,Dinner,0.25,Tablespoon,30,0,3.38,0,0,0.50,0,0,0,0
10/25/2022,Jerk-style Plantain Chips,PotatoChip,Evening Snacks,0.75,Serving,105,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/25/2022,popping corn yellow Kernel,Corn,Evening Snacks,45.0,Grams,165,0,2.25,4.50,33,0,0,6,0,0
10/25/2022,"Oil, Canola",Oil,Evening Snacks,0.25,Tablespoon,30,0,3.50,0,0,0.25,0,0,0,0
10/25/2022,"Goodpop Freezer Pop Popsicle, Cherry Limeade",Popsicle,Evening Snacks,1.0,Each,30,0,0,0,7,0,7,0,0,5
10/25/2022,Chocolate Rice Cake,RiceCake,Evening Snacks,15.0,Grams,60,0,1,1,12,0,4,0,0,35
10/25/2022,"Newtons, Fig",Fig,Evening Snacks,1.0,Piece,50,0,1,0.50,10.50,0,6,0.50,0,47.50
10/26/2022,Calories,Calories,Breakfast,25.0,Each,250,0,0,0,0,0,0,0,0,0
10/26/2022,"Banana, Small, 6"" to 6 7/8"" Long",Banana,Morning Snacks,1.0,Each,90,0,0.33,1.10,23.7,0.11,12.35,2.63,0,1.1
10/26/2022,Calories,Calories,Lunch,50.0,Each,500,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/26/2022,"Candy, Peanut Butter Cups, Miniatures",Candy,Afternoon Snacks,1.0,Piece,44,0,2.60,0.80,5.20,1,4.60,0.20,1,26
10/26/2022,"Protein-Packed Chewy Granola Bar, S’mores",Bar,Afternoon Snacks,1.0,Each,140,0,3.50,7,20,1,9,2,5,90
10/26/2022,"Goldfish Baked Snack Crackers, Parmesan",Cracker,Afternoon Snacks,27.0,Pieces,63,0,2.25,1.35,9,0.45,0,0.23,0,117
10/26/2022,Garden Vegetable Pasta Sauce,Sauce,Dinner,95.0,Grams,70,0,3.50,2,8,0,4,2,0,300.5
10/26/2022,"Meatballs, Turkey (2 Balls/serving)",Meatballs,Dinner,2.0,Servings,200,0,10,24,10,4,2,4,60,800
10/26/2022,Garlic Naan,WhiteBread,Dinner,0.5,Piece,125,0,1.75,3.50,23.50,0.75,1.50,1.50,n/a,155
10/26/2022,Pure Irish Butter,Butter,Dinner,5.0,Grams,36,0,3.93,0,0,n/a,n/a,n/a,n/a,n/a
10/26/2022,Tagliatelle Organic (2oz.=3/4 Cup),Pasta,Dinner,1.845,Ounces,174,0,0.46,6.42,36.71,0,2.79,1.86,0,18.35
10/26/2022,Calories,Calories,Evening Snacks,11.0,Each,110,0,0,0,0,0,0,0,0,0
10/27/2022,Calories,Calories,Breakfast,20.0,Each,200,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/27/2022,Calories,Calories,Lunch,42.5,Each,425,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/27/2022,Calories,Calories,Afternoon Snacks,20.0,Each,200,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/27/2022,Calories,Calories,Afternoon Snacks,32.5,Each,325,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/27/2022,Calories,Calories,Dinner,40.0,Each,400,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/27/2022,Smarties,Candy,Evening Snacks,1.0,Stick,25,0,0,0,6,0,6,0,0,0
10/27/2022,White Cheddar Rice Cake,Rice,Evening Snacks,1.0,Each,45,0,1,1,8,0,1,0,0,100
10/27/2022,Calories,Calories,Evening Snacks,11.0,Each,110,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/27/2022,Chocolate Rice Cake,RiceCake,Evening Snacks,15.0,Grams,60,0,1,1,12,0,4,0,0,35
10/28/2022,Wheat bread,WhiteBread,Breakfast,58.0,Grams,135,0,2.7,5.18,25.89,0,1.4,2.7,0,269.29
10/28/2022,Calories,Calories,Breakfast,11.2,Each,112,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/28/2022,This Strawberry Walks Into A Bar,Bar,Morning Snacks,1.0,Serving,140,0,2.50,2,28,0,16,1,0,75
10/28/2022,"Honey Ham, Ultra Thin",DeliMeat,Lunch,4.0,Ounces,140,0,3,18,6,1,4,0,60,1380
10/28/2022,Wheat bread,WhiteBread,Lunch,56.0,Grams,130,0,2,5,25,0,1,2,0,260
10/28/2022,White Chips With A Touch Of Lime,Lime,Lunch,28.0,Grams,130,0,7,2,17,0.50,0,2,0,150
10/28/2022,Atlantic Salmon Fillet,Fish,Dinner,123.0,Grams,261,0,16.33,25.4,0,3.81,0,0,65.31,70.75
10/28/2022,Calories,Calories,Afternoon Snacks,2.0,Each,20,0,0,0,0,0,0,0,0,0
10/28/2022,Chocolate Rice Cake,RiceCake,Afternoon Snacks,15.0,Grams,60,0,1,1,12,0,4,0,0,35
10/28/2022,"Organic Frosted Toasted Pastries, Cherry Pomegranate",PopTart,Afternoon Snacks,0.5,Serving,175,0,4,2,33.50,1.75,18,1,0,130
10/28/2022,"Candy, Peanut Butter Cups, Miniatures",Candy,Afternoon Snacks,1.0,Piece,44,0,2.60,0.80,5.20,1,4.60,0.20,1,26
10/28/2022,"Yellow Potatoes, Organic",Potato,Dinner,180.0,Grams,164,0,0,3.27,40.91,0,1.64,1.64,0,8.18
10/28/2022,Calories,Calories,Dinner,17.4,Each,174,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/28/2022,Smarties,Candy,Evening Snacks,1.0,Stick,25,0,0,0,6,0,6,0,0,0
10/28/2022,White Cheddar Rice Cake,Rice,Evening Snacks,1.0,Each,45,0,1,1,8,0,1,0,0,100
10/28/2022,Calories,Calories,Evening Snacks,27.0,Each,270,0,0,0,0,0,0,0,0,0
10/29/2022,"Ham, Honey, Smoked",Pork,Breakfast,2.0,Ounces,69,0,1.34,10.17,4.12,0.66,0,0,12.47,510.29
10/29/2022,"Egg, Large",Egg,Breakfast,2.0,Each,143,0,9.51,12.56,0.72,3.13,0.37,0,372,142
10/29/2022,Wheat bread,WhiteBread,Breakfast,28.0,Grams,65,0,1,2.50,12.50,0,0.50,1,0,130
10/29/2022,Pure Irish Butter,Butter,Breakfast,5.0,Grams,36,0,3.93,0,0,n/a,n/a,n/a,n/a,n/a
10/29/2022,White Cheddar Rice Cake,Rice,Morning Snacks,1.0,Each,45,0,1,1,8,0,1,0,0,100
10/29/2022,Everbar,Default,Lunch,1.0,Serving,180,0,10,1,22,7.70,14,0,0,n/a
10/29/2022,"Protein-Packed Chewy Granola Bar, S’mores",Bar,Afternoon Snacks,1.0,Each,140,0,3.50,7,20,1,9,2,5,90
10/29/2022,White Cheddar Rice Cake,Rice,Afternoon Snacks,2.0,Each,90,0,2,2,16,0,2,0,0,200
10/29/2022,Calories,Calories,Dinner,90.0,Each,900,0,0,0,0,0,0,0,0,0
10/29/2022,Manhattan,Recipe,Evening Snacks,1.0,Serving,184,0,n/a,n/a,3,n/a,n/a,n/a,n/a,n/a
10/29/2022,Strawberry Ice Cream,IceCream,Evening Snacks,127.5,Grams,135,0,2.50,7.50,31,1.50,12.50,8.50,12.50,135
10/29/2022,"Pretzels, Sourdough Nibblers",Pretzel,Evening Snacks,7.3,Each,55,0,0,1.37,11.41,0,0.23,0.23,0,91.25
10/29/2022,Chocolate Rice Cake,RiceCake,Evening Snacks,15.0,Grams,60,0,1,1,12,0,4,0,0,35
10/30/2022,Macrina Baguette,Baguette,Breakfast,52.0,Grams,135,0,0,4.81,28.89,0,0.96,0.96,0,317.78
10/30/2022,Pure Irish Butter,Butter,Breakfast,6.0,Grams,43,0,4.71,0,0,n/a,n/a,n/a,n/a,n/a
10/30/2022,Natural Applewood Smoked Uncured Center Cut Bacon,Bacon,Breakfast,1.0,Slice,45,0,2.50,4.50,0.25,1.1,0.25,0,15,180
10/30/2022,"Eggs, Large",Egg,Breakfast,1.0,Each,70,0,4.50,6,1,1.50,0,0,215,65
10/30/2022,This Blueberry Walks Into A Bar,Bar,Morning Snacks,1.0,Serving,140,0,2.50,2,27,0,17,n/a,0,80
10/30/2022,This Apple Walks Into A Bar,CerealBar,Lunch,1.0,Serving,140,0,2.50,2,27,0,16,1,0,75
10/30/2022,Calories,Calories,Afternoon Snacks,20.0,Each,200,0,0,0,0,0,0,0,0,0
10/30/2022,"Hot Dog, Turkey, Uncured",Hotdog,Dinner,2.0,Each,120,0,6,14,2,2,0,0,60,940
10/30/2022,"Bun, Hot Dog, Plain",HotDogBun,Dinner,2.0,Each,240,0,6,8,44,0,6,1,0,360
10/30/2022,"Yellow Potatoes, Organic",Potato,Dinner,174.0,Grams,158,0,0,3.16,39.55,0,1.58,1.58,0,7.91
10/30/2022,"Oil, Canola",Oil,Dinner,0.25,Tablespoon,30,0,3.50,0,0,0.25,0,0,0,0
10/30/2022,Michigan Sauce,Recipe,Dinner,0.11,Pot,70,0,2.7,9.68,2.20,0.98,1.10,0.44,26.40,138.60
10/30/2022,White Cheddar Rice Cake,Rice,Evening Snacks,2.0,Each,90,0,2,2,16,0,2,0,0,200
10/30/2022,Smarties,Candy,Evening Snacks,1.0,Stick,25,0,0,0,6,0,6,0,0,0
10/30/2022,Calories,Calories,Evening Snacks,27.0,Each,270,0,0,0,0,0,0,0,0,0
10/30/2022,Calories,Calories,Evening Snacks,9.1,Each,91,0,0,0,0,0,0,0,0,0
10/31/2022,Calories,Calories,Breakfast,30.0,Each,300,0,0,0,0,0,0,0,0,0
10/31/2022,Calories,Calories,Lunch,45.0,Each,450,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/31/2022,Calories,Calories,Afternoon Snacks,13.0,Each,130,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/31/2022,Calories,Calories,Afternoon Snacks,4.5,Each,45,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/31/2022,Calories,Calories,Dinner,55.0,Each,550,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/31/2022,White Cheddar Rice Cake,Rice,Evening Snacks,1.0,Each,45,0,1,1,8,0,1,0,0,100
10/31/2022,Smarties,Candy,Evening Snacks,1.5,Sticks,38,0,0,0,9,0,9,0,0,0
10/31/2022,Chocolate ice cream,IceCreamChocolate,Evening Snacks,175.0,Grams,150,0,5,15,35,n/a,n/a,n/a,n/a,272.50
10/31/2022,Mini reeces cups,Candy,Evening Snacks,1.0,Piece,75,0,1.30,0.40,2.60,0.50,2.30,0.10,0.50,13
10/31/2022,Chocolate Rice Cake,RiceCake,Evening Snacks,30.0,Grams,120,0,2,2,24,0,8,0,0,70
11/01/2022,Calories,Calories,Breakfast,20.0,Each,200,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
11/01/2022,Calories,Calories,Lunch,37.5,Each,375,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
11/01/2022,Calories,Calories,Afternoon Snacks,10.0,Each,100,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
11/01/2022,"Protein-Packed Chewy Granola Bar, S’mores",Bar,Afternoon Snacks,1.0,Each,140,0,3.50,7,20,1,9,2,5,90
11/01/2022,Jerky,Beef,Afternoon Snacks,1.0,Serving,70,0,1,12,7,0,7,0,25,290
11/01/2022,Brioche Hot Dog Bun,HotDogBun,Dinner,2.0,Each,300,0,8,8,48,2,10,2,60,360
11/01/2022,"Hot Dog, Turkey, Uncured",Hotdog,Dinner,94.0,Grams,120,0,6,14,2,2,0,0,60,940
11/01/2022,Michigan Sauce,Recipe,Dinner,0.1,Pot,64,0,1.88,8.80,2,0.89,1,0.40,24,126
11/01/2022,"Beer, Lush IPA",Beer,Dinner,12.0,Fluid ounces,210,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
11/01/2022,"Chips, Tortilla Red Hot Blues",Tortilla,Dinner,18.0,Grams,90,0,4.50,1.27,10.93,0.32,0,1.27,0,96.43
11/01/2022,Smarties,Candy,Evening Snacks,1.0,Stick,25,0,0,0,6,0,6,0,0,0
11/01/2022,White Cheddar Rice Cake,Rice,Evening Snacks,1.0,Each,45,0,1,1,8,0,1,0,0,100
